chr1 start1 end1 chr2 start2 end2 bulk.IF1 bulk.IF2 D M adj.bulk.IF1 bulk.adj.IF2 adj.M mc A
13 chr20 13000000 14000000 chr20 13000000 14000000 1935 2000 0 0.0476664336303143 2051.1049846907 1886.78786745944 -0.120469108164294 0.168135541794609 1968.94642607507
14 chr20 14000000 15000000 chr20 14000000 15000000 1785 2130 0 0.254929356196739 1892.10459828057 2009.4290788443 0.0867938144021298 0.168135541794609 1950.76683856244
15 chr20 15000000 16000000 chr20 15000000 16000000 1814 2106 0 0.215330980497194 1922.84467298653 1986.78762443479 0.0471954387025858 0.168135541794609 1954.81614871066
16 chr20 16000000 17000000 chr20 16000000 17000000 1972 2114 0 0.100315825004772 2090.3250800052 1994.33477590463 -0.0678197167898381 0.168135541794609 2042.32992795492
17 chr20 17000000 18000000 chr20 17000000 18000000 1906 2162 0 0.181818403824708 2020.36490998474 2039.61768472365 0.0136828620300998 0.168135541794609 2029.9912973542
18 chr20 18000000 19000000 chr20 18000000 19000000 1912 1972 0 0.0445770283971631 2026.72492544115 1860.37283731501 -0.123558513397444 0.168135541794609 1943.54888137808
19 chr20 19000000 20000000 chr20 19000000 20000000 1991 2215 0 0.153813477721878 2110.46512895049 2089.61756321133 -0.0143220640727291 0.168135541794609 2100.04134608091
20 chr20 20000000 21000000 chr20 20000000 21000000 1962 2204 0 0.167799182351919 2079.72505424453 2079.2402299403 -0.000336359442689748 0.168135541794609 2079.48264209242
21 chr20 21000000 22000000 chr20 21000000 22000000 1828 2099 0 0.199436096234085 1937.68470905148 1980.18386689868 0.0313005544394755 0.168135541794609 1958.93428797508
22 chr20 22000000 23000000 chr20 22000000 23000000 1914 2061 0 0.106753675053231 2028.84493059329 1944.33489741695 -0.0613818667413781 0.168135541794609 1986.58991400512
23 chr20 23000000 24000000 chr20 23000000 24000000 1831 2084 0 0.186723486481171 1940.86471677968 1966.03295789273 0.018587944686562 0.168135541794609 1953.44883733621
24 chr20 24000000 25000000 chr20 24000000 25000000 1970 2221 0 0.173013763203242 2088.20507485307 2095.27792681371 0.00487822140863327 0.168135541794609 2091.74150083339
25 chr20 25000000 26000000 chr20 25000000 26000000 1600 1783 0 0.15623479785027 1696.00412170808 1682.07138384009 -0.0119007439443398 0.168135541794609 1689.03775277408
26 chr20 26000000 27000000 chr20 26000000 27000000 392 443 0 0.17645304443981 415.521009818478 417.923512642266 0.00831750264520164 0.168135541794609 416.722261230372
27 chr20 27000000 28000000 chr20 27000000 28000000 1849 2134 0 0.206814951420229 1959.94476314889 2013.20265457922 0.0386794096256207 0.168135541794609 1986.57370886406
28 chr20 28000000 29000000 chr20 28000000 29000000 1846 2061 0 0.158941951893482 1956.76475542069 1944.33489741695 -0.00919358990112677 0.168135541794609 1950.54982641882
29 chr20 29000000 30000000 chr20 29000000 30000000 673 792 0 0.234893925469293 713.381733693459 747.167995513938 0.0667583836746852 0.168135541794609 730.274864603699
30 chr20 30000000 31000000 chr20 30000000 31000000 1844 2208 0 0.259901516348831 1954.64475026856 2083.01380567522 0.0917659745542208 0.168135541794609 2018.82927797189
31 chr20 31000000 32000000 chr20 31000000 32000000 1928 2193 0 0.185800760443632 2043.68496665823 2068.86289666927 0.0176652186490232 0.168135541794609 2056.27393166375
32 chr20 32000000 33000000 chr20 32000000 33000000 1938 2113 0 0.12472419651986 2054.28499241891 1993.3913819709 -0.0434113452747483 0.168135541794609 2023.8381871949
33 chr20 33000000 34000000 chr20 33000000 34000000 1870 2176 0 0.21864028647534 1982.20481724631 2052.82519979587 0.0505047446807312 0.168135541794609 2017.51500852109
34 chr20 34000000 35000000 chr20 34000000 35000000 1825 2047 0 0.165614638368669 1934.50470132327 1931.12738234474 -0.00252090342593904 0.168135541794609 1932.816041834
35 chr20 35000000 36000000 chr20 35000000 36000000 1835 2035 0 0.149248731423034 1945.10472708395 1919.80665513998 -0.0188868103715745 0.168135541794609 1932.45569111196
36 chr20 36000000 37000000 chr20 36000000 37000000 1898 2332 0 0.297087796179387 2011.88488937621 2199.99465345771 0.128952254384778 0.168135541794609 2105.93977141696
37 chr20 37000000 38000000 chr20 37000000 38000000 1862 2140 0 0.200757723729715 1973.72479663777 2018.8630181816 0.0326221819351069 0.168135541794609 1996.29390740969
38 chr20 38000000 39000000 chr20 38000000 39000000 1871 2152 0 0.20186851931584 1983.26481982238 2030.18374538636 0.0337329775212306 0.168135541794609 2006.72428260437
39 chr20 39000000 40000000 chr20 39000000 40000000 1998 2195 0 0.135664356630302 2117.88514698296 2070.74968453673 -0.0324711851643063 0.168135541794609 2094.31741575985
40 chr20 40000000 41000000 chr20 40000000 41000000 1969 2074 0 0.074952782911672 2087.145072277 1956.59901855544 -0.0931827588829358 0.168135541794609 2021.87204541622
41 chr20 41000000 42000000 chr20 41000000 42000000 1921 2210 0 0.202188850613267 2036.26494862576 2084.90059354268 0.034053308818658 0.168135541794609 2060.58277108422
42 chr20 42000000 43000000 chr20 42000000 43000000 1886 2040 0 0.113239476183761 1999.16485846339 1924.52362480863 -0.0548960656108459 0.168135541794609 1961.84424163601
43 chr20 43000000 44000000 chr20 43000000 44000000 1961 2197 0 0.163945334231127 2078.66505166846 2072.63647240419 -0.00419020756348247 0.168135541794609 2075.65076203633
44 chr20 44000000 45000000 chr20 44000000 45000000 1954 2125 0 0.121032373944041 2071.24503363599 2004.71210917565 -0.0471031678505671 0.168135541794609 2037.97857140582
45 chr20 45000000 46000000 chr20 45000000 46000000 1959 2144 0 0.130187508190186 2076.54504651633 2022.63659391652 -0.037948033604424 0.168135541794609 2049.59082021642
46 chr20 46000000 47000000 chr20 46000000 47000000 1846 2023 0 0.132093766912509 1956.76475542069 1908.48592793522 -0.036041774882099 0.168135541794609 1932.62534167796
47 chr20 47000000 48000000 chr20 47000000 48000000 1916 2211 0 0.206601464080046 2030.96493574542 2085.84398747641 0.0384659222854379 0.168135541794609 2058.40446161092
48 chr20 48000000 49000000 chr20 48000000 49000000 1966 2164 0 0.138437177486235 2083.9650645488 2041.50447259111 -0.0296983643083734 0.168135541794609 2062.73476856996
49 chr20 49000000 50000000 chr20 49000000 50000000 1972 2207 0 0.162427077901702 2090.3250800052 2082.07041174149 -0.00570846389290653 0.168135541794609 2086.19774587335
50 chr20 50000000 51000000 chr20 50000000 51000000 1846 2120 0 0.199661711804787 1956.76475542069 1999.99513950701 0.0315261700101797 0.168135541794609 1978.37994746385
51 chr20 51000000 52000000 chr20 51000000 52000000 1933 2212 0 0.194509748023471 2048.98497953857 2086.78738141014 0.0263742062288636 0.168135541794609 2067.88618047435
52 chr20 52000000 53000000 chr20 52000000 53000000 1796 2044 0 0.186607846196474 1903.76462661731 1928.29720054355 0.0184723044018663 0.168135541794609 1916.03091358043
53 chr20 53000000 54000000 chr20 53000000 54000000 1769 2000 0 0.177065951971629 1875.14455706349 1886.78786745944 0.00893041017702083 0.168135541794609 1880.96621226146
54 chr20 54000000 55000000 chr20 54000000 55000000 1888 2075 0 0.136252571759808 2001.28486361553 1957.54241248917 -0.0318829700348004 0.168135541794609 1979.41363805235
55 chr20 55000000 56000000 chr20 55000000 56000000 2017 2186 0 0.116082317058943 2138.02519592824 2062.25913913317 -0.0520532247356656 0.168135541794609 2100.14216753071
56 chr20 56000000 57000000 chr20 56000000 57000000 2016 2318 0 0.201384927506555 2136.96519335217 2186.78713838549 0.0332493857119473 0.168135541794609 2161.87616586883
57 chr20 57000000 58000000 chr20 57000000 58000000 1990 2255 0 0.180359002711732 2109.40512637442 2127.35332056052 0.0122234609171238 0.168135541794609 2118.37922346747
58 chr20 58000000 59000000 chr20 58000000 59000000 1993 2171 0 0.123418015776086 2112.58513410262 2048.10823012722 -0.0447175260185214 0.168135541794609 2080.34668211492
59 chr20 59000000 60000000 chr20 59000000 60000000 1935 2235 0 0.207941265038908 2051.1049846907 2108.48544188592 0.0398057232442992 0.168135541794609 2079.79521328831
60 chr20 60000000 61000000 chr20 60000000 61000000 1976 2067 0 0.0649554418407698 2094.56509030947 1949.99526101933 -0.103180099953839 0.168135541794609 2022.2801756644
61 chr20 61000000 62000000 chr20 61000000 62000000 1785 2094 0 0.230337368014346 1892.10459828057 1975.46689723003 0.0622018262197379 0.168135541794609 1933.7857477553
62 chr20 62000000 63000000 chr20 62000000 63000000 1660 1884 0 0.182615723378496 1759.60427627213 1777.35417114679 0.0144801815838883 0.168135541794609 1768.47922370946
63 chr20 0 1000000 chr20 1000000 2000000 28 34 1 0.280107919192735 26.2303799465944 36.2937937589272 0.468484163199888 -0.188376244007153 31.2620868527608
64 chr20 1000000 2000000 chr20 2000000 3000000 29 48 1 0.726981505593584 27.1671792304014 51.2382970714267 0.915357749600736 -0.188376244007153 39.202738150914
65 chr20 2000000 3000000 chr20 3000000 4000000 32 19 1 -0.752072486556414 29.9775770818222 20.2818259241064 -0.563696242549263 -0.188376244007153 25.1297015029643
66 chr20 3000000 4000000 chr20 4000000 5000000 26 26 1 0 24.3567813789806 27.7540775803561 0.188376244007152 -0.188376244007153 26.0554294796683
67 chr20 4000000 5000000 chr20 5000000 6000000 39 37 1 -0.0759488532332986 36.5351720684708 39.4961873258914 0.112427390773854 -0.188376244007153 38.0156796971811
68 chr20 5000000 6000000 chr20 6000000 7000000 38 26 1 -0.547487795302493 35.5983727846639 27.7540775803561 -0.359111551295342 -0.188376244007153 31.67622518251
69 chr20 6000000 7000000 chr20 7000000 8000000 61 39 1 -0.645335118700638 57.1447563122236 41.6311163705342 -0.456958874693486 -0.188376244007153 49.3879363413789
70 chr20 7000000 8000000 chr20 8000000 9000000 42 29 1 -0.534336427651188 39.3455699198917 30.9564711473203 -0.345960183644037 -0.188376244007153 35.151020533606
71 chr20 8000000 9000000 chr20 9000000 10000000 50 34 1 -0.556393348524385 46.8399641903472 36.2937937589272 -0.368017104517233 -0.188376244007153 41.5668789746372
72 chr20 9000000 10000000 chr20 10000000 11000000 44 43 1 -0.0331668639351993 41.2191684875056 45.9009744598197 0.155209380071953 -0.188376244007153 43.5600714736627
73 chr20 10000000 11000000 chr20 11000000 12000000 60 78 1 0.37851162325373 56.2079570284167 83.2622327410684 0.566887867260882 -0.188376244007153 69.7350948847426
74 chr20 11000000 12000000 chr20 12000000 13000000 56 37 1 -0.597901556428654 52.4607598931889 39.4961873258914 -0.409525312421501 -0.188376244007153 45.9784736095402
75 chr20 12000000 13000000 chr20 13000000 14000000 31 34 1 0.133266530863464 29.0407777980153 36.2937937589272 0.321642774870616 -0.188376244007153 32.6672857784713
76 chr20 13000000 14000000 chr20 14000000 15000000 39 33 1 -0.241008099503795 36.5351720684708 35.2263292366058 -0.0526318554966432 -0.188376244007153 35.8807506525384
77 chr20 14000000 15000000 chr20 15000000 16000000 58 50 1 -0.214124805352848 54.3343584608028 53.3732261160695 -0.0257485613456954 -0.188376244007153 53.8537922884361
78 chr20 15000000 16000000 chr20 16000000 17000000 43 30 1 -0.519374159093579 40.2823692036986 32.0239356696417 -0.330997915086427 -0.188376244007153 36.1531524366702
79 chr20 16000000 17000000 chr20 17000000 18000000 30 35 1 0.222392421336448 28.1039785142083 37.3612582812486 0.4107686653436 -0.188376244007153 32.7326183977285
80 chr20 17000000 18000000 chr20 18000000 19000000 44 24 1 -0.874469117916141 41.2191684875056 25.6191485357133 -0.686092873908989 -0.188376244007153 33.4191585116095
81 chr20 18000000 19000000 chr20 19000000 20000000 51 41 1 -0.314873337353412 47.7767634741542 43.766045415177 -0.126497093346259 -0.188376244007153 45.7714044446656
82 chr20 19000000 20000000 chr20 20000000 21000000 25 50 1 1 23.4199820951736 53.3732261160695 1.18837624400715 -0.188376244007153 38.3966041056215
83 chr20 20000000 21000000 chr20 21000000 22000000 44 45 1 0.0324214776923774 41.2191684875056 48.0359035044625 0.22079772169953 -0.188376244007153 44.627535995984
84 chr20 21000000 22000000 chr20 22000000 23000000 45 40 1 -0.169925001442312 42.1559677713125 42.6985808928556 0.0184512425648401 -0.188376244007153 42.4272743320841
85 chr20 22000000 23000000 chr20 23000000 24000000 45 44 1 -0.0324214776923775 42.1559677713125 46.9684389821411 0.155954766314775 -0.188376244007153 44.5622033767268
86 chr20 23000000 24000000 chr20 24000000 25000000 37 44 1 0.249978253008348 34.661573500857 46.9684389821411 0.438354497015499 -0.188376244007153 40.815006241499
87 chr20 24000000 25000000 chr20 25000000 26000000 35 35 1 0 32.7879749332431 37.3612582812486 0.188376244007152 -0.188376244007153 35.0746166072458
88 chr20 25000000 26000000 chr20 26000000 27000000 35 28 1 -0.321928094887362 32.7879749332431 29.8890066249989 -0.133551850880211 -0.188376244007153 31.338490779121
89 chr20 26000000 27000000 chr20 27000000 28000000 34 28 1 -0.280107919192735 31.8511756494361 29.8890066249989 -0.0917316751855831 -0.188376244007153 30.8700911372175
90 chr20 27000000 28000000 chr20 28000000 29000000 40 34 1 -0.234465253637023 37.4719713522778 36.2937937589272 -0.0460890096298715 -0.188376244007153 36.8828825556025
91 chr20 28000000 29000000 chr20 29000000 30000000 36 33 1 -0.125530882083859 33.72477421705 35.2263292366058 0.0628453619232931 -0.188376244007153 34.4755517268279
92 chr20 29000000 30000000 chr20 30000000 31000000 25 26 1 0.0565835283663675 23.4199820951736 27.7540775803561 0.244959772373519 -0.188376244007153 25.5870298377649
93 chr20 30000000 31000000 chr20 31000000 32000000 24 27 1 0.169925001442312 22.4831828113667 28.8215421026775 0.358301245449464 -0.188376244007153 25.6523624570221
94 chr20 31000000 32000000 chr20 32000000 33000000 35 22 1 -0.669851398307669 32.7879749332431 23.4842194910706 -0.481475154300517 -0.188376244007153 28.1360972121568
95 chr20 32000000 33000000 chr20 33000000 34000000 46 33 1 -0.47916783669856 43.0927670551195 35.2263292366058 -0.290791592691408 -0.188376244007153 39.1595481458627
96 chr20 33000000 34000000 chr20 34000000 35000000 18 37 1 1.03952836418664 16.862387108525 39.4961873258914 1.22790460819379 -0.188376244007153 28.1792872172082
97 chr20 34000000 35000000 chr20 35000000 36000000 40 24 1 -0.736965594166206 37.4719713522778 25.6191485357133 -0.548589350159055 -0.188376244007153 31.5455599439956
98 chr20 35000000 36000000 chr20 36000000 37000000 47 30 1 -0.647698256069119 44.0295663389264 32.0239356696417 -0.459322012061967 -0.188376244007153 38.0267510042841
99 chr20 36000000 37000000 chr20 37000000 38000000 32 28 1 -0.192645077942396 29.9775770818222 29.8890066249989 -0.00426883393524398 -0.188376244007153 29.9332918534106
100 chr20 37000000 38000000 chr20 38000000 39000000 27 21 1 -0.362570079384708 25.2935806627875 22.4167549687492 -0.174193835377556 -0.188376244007153 23.8551678157683
101 chr20 38000000 39000000 chr20 39000000 40000000 44 35 1 -0.330148601692331 41.2191684875056 37.3612582812486 -0.141772357685179 -0.188376244007153 39.2902133843771
102 chr20 39000000 40000000 chr20 40000000 41000000 29 25 1 -0.214124805352848 27.1671792304014 26.6866130580347 -0.0257485613456954 -0.188376244007153 26.9268961442181
103 chr20 40000000 41000000 chr20 41000000 42000000 44 46 1 0.0641303374197156 41.2191684875056 49.1033680267839 0.252506581426868 -0.188376244007153 45.1612682571447
104 chr20 41000000 42000000 chr20 42000000 43000000 34 15 1 -1.18057224564182 31.8511756494361 16.0119678348208 -0.992196001634668 -0.188376244007153 23.9315717421285
105 chr20 42000000 43000000 chr20 43000000 44000000 22 22 1 0 20.6095842437528 23.4842194910706 0.188376244007152 -0.188376244007153 22.0469018674117
106 chr20 43000000 44000000 chr20 44000000 45000000 36 30 1 -0.263034405833794 33.72477421705 32.0239356696417 -0.0746581618266414 -0.188376244007153 32.8743549433458
107 chr20 44000000 45000000 chr20 45000000 46000000 35 31 1 -0.175086706558091 32.7879749332431 33.0914001919631 0.0132895374490606 -0.188376244007153 32.9396875626031
108 chr20 45000000 46000000 chr20 46000000 47000000 52 31 1 -0.746243407754217 48.7135627579611 33.0914001919631 -0.557867163747065 -0.188376244007153 40.9024814749621
109 chr20 46000000 47000000 chr20 47000000 48000000 45 44 1 -0.0324214776923775 42.1559677713125 46.9684389821411 0.155954766314775 -0.188376244007153 44.5622033767268
110 chr20 47000000 48000000 chr20 48000000 49000000 26 25 1 -0.0565835283663674 24.3567813789806 26.6866130580347 0.131792715640785 -0.188376244007153 25.5216972185076
111 chr20 48000000 49000000 chr20 49000000 50000000 33 39 1 0.241008099503795 30.9143763656292 41.6311163705342 0.429384343510947 -0.188376244007153 36.2727463680817
112 chr20 49000000 50000000 chr20 50000000 51000000 37 34 1 -0.12199052437861 34.661573500857 36.2937937589272 0.0663857196285413 -0.188376244007153 35.4776836298921
113 chr20 50000000 51000000 chr20 51000000 52000000 32 23 1 -0.476438043942987 29.9775770818222 24.551684013392 -0.288061799935835 -0.188376244007153 27.2646305476071
114 chr20 51000000 52000000 chr20 52000000 53000000 31 22 1 -0.494764691749578 29.0407777980153 23.4842194910706 -0.306388447742426 -0.188376244007153 26.2624986445429
115 chr20 52000000 53000000 chr20 53000000 54000000 23 32 1 0.476438043942987 21.5463835275597 34.1588647142845 0.664814287950139 -0.188376244007153 27.8526241209221
116 chr20 53000000 54000000 chr20 54000000 55000000 44 34 1 -0.371968777386958 41.2191684875056 36.2937937589272 -0.183592533379806 -0.188376244007153 38.7564811232164
117 chr20 54000000 55000000 chr20 55000000 56000000 38 21 1 -0.855610090664825 35.5983727846639 22.4167549687492 -0.667233846657673 -0.188376244007153 29.0075638767065
118 chr20 55000000 56000000 chr20 56000000 57000000 31 32 1 0.0458036896131248 29.0407777980153 34.1588647142845 0.234179933620277 -0.188376244007153 31.5998212561499
119 chr20 56000000 57000000 chr20 57000000 58000000 53 33 1 -0.683526335204746 49.6503620417681 35.2263292366058 -0.495150091197593 -0.188376244007153 42.4383456391869
120 chr20 57000000 58000000 chr20 58000000 59000000 36 34 1 -0.082462160191973 33.72477421705 36.2937937589272 0.105914083815179 -0.188376244007153 35.0092839879886
121 chr20 58000000 59000000 chr20 59000000 60000000 54 50 1 -0.111031312388744 50.587161325575 53.3732261160695 0.0773449316184084 -0.188376244007153 51.9801937208222
122 chr20 59000000 60000000 chr20 60000000 61000000 36 31 1 -0.215728691055437 33.72477421705 33.0914001919631 -0.0273524470482852 -0.188376244007153 33.4080872045065
123 chr20 60000000 61000000 chr20 61000000 62000000 24 23 1 -0.0614005446641433 22.4831828113667 24.551684013392 0.126975699343009 -0.188376244007153 23.5174334123793
124 chr20 61000000 62000000 chr20 62000000 63000000 28 25 1 -0.163498732282879 26.2303799465944 26.6866130580347 0.0248775117242727 -0.188376244007153 26.4584965023146
125 chr20 0 1000000 chr20 2000000 3000000 22 23 2 0.0641303374197156 21.5982989319918 23.4277709366502 0.117302002643923 -0.0531716652242063 22.513034934321
126 chr20 0 1000000 chr20 3000000 4000000 17 17 3 0 16.5776700602052 17.4330891464504 0.0725869831349881 -0.0725869831349872 17.0053796033278
127 chr20 1000000 2000000 chr20 3000000 4000000 18 20 2 0.15200309344505 17.6713354898114 20.3719747275219 0.205174758669258 -0.0531716652242063 19.0216551086667
128 chr20 1000000 2000000 chr20 4000000 5000000 23 20 3 -0.201633861169651 22.4286124343953 20.5095166428829 -0.129046878034662 -0.0725869831349872 21.4690645386391
129 chr20 2000000 3000000 chr20 4000000 5000000 16 21 2 0.39231742277876 15.7078537687213 21.390573463898 0.445489088002967 -0.0531716652242063 18.5492136163097
130 chr20 2000000 3000000 chr20 5000000 6000000 23 19 3 -0.275634442613427 22.4286124343953 19.4840408107387 -0.20304745947844 -0.0725869831349872 20.956326622567
131 chr20 3000000 4000000 chr20 5000000 6000000 16 18 2 0.169925001442312 15.7078537687213 18.3347772547697 0.223096666666519 -0.0531716652242063 17.0213155117455
132 chr20 3000000 4000000 chr20 6000000 7000000 17 18 3 0.082462160191973 16.5776700602052 18.4585649785946 0.155049143326961 -0.0725869831349872 17.5181175193999
133 chr20 4000000 5000000 chr20 6000000 7000000 20 20 2 0 19.6348172109016 20.3719747275219 0.0531716652242074 -0.0531716652242063 20.0033959692118
134 chr20 4000000 5000000 chr20 7000000 8000000 18 16 3 -0.169925001442312 17.5528271225702 16.4076133143063 -0.0973380183073243 -0.0725869831349872 16.9802202184383
135 chr20 5000000 6000000 chr20 7000000 8000000 22 15 2 -0.552541023028779 21.5982989319918 15.2789810456414 -0.499369357804572 -0.0531716652242063 18.4386399888166
136 chr20 5000000 6000000 chr20 8000000 9000000 23 18 3 -0.3536369546147 22.4286124343953 18.4585649785946 -0.281049971479713 -0.0725869831349872 20.4435887064949
137 chr20 6000000 7000000 chr20 8000000 9000000 33 34 2 0.0430687218918859 32.3974483979876 34.6323570367873 0.096240387116093 -0.0531716652242063 33.5149027173875
138 chr20 6000000 7000000 chr20 9000000 10000000 19 18 3 -0.0780025120012732 18.5279841849353 18.4585649785946 -0.00541552886628518 -0.0725869831349872 18.4932745817649
139 chr20 7000000 8000000 chr20 9000000 10000000 21 19 2 -0.144389909335175 20.6165580714467 19.3533759911458 -0.0912182441109685 -0.0531716652242063 19.9849670312963
140 chr20 7000000 8000000 chr20 10000000 11000000 23 16 3 -0.523561956057013 22.4286124343953 16.4076133143063 -0.450974972922025 -0.0725869831349872 19.4181128743508
141 chr20 8000000 9000000 chr20 10000000 11000000 25 15 2 -0.736965594166206 24.543521513627 15.2789810456414 -0.683793928941999 -0.0531716652242063 19.9112512796342
142 chr20 8000000 9000000 chr20 11000000 12000000 19 16 3 -0.247927513443586 18.5279841849353 16.4076133143063 -0.175340530308597 -0.0725869831349872 17.4677987496208
143 chr20 9000000 10000000 chr20 11000000 12000000 17 27 2 0.667424660913129 16.6895946292664 27.5021658821546 0.720596326137336 -0.0531716652242063 22.0958802557105
144 chr20 9000000 10000000 chr20 12000000 13000000 26 25 3 -0.0565835283663674 25.3540836214904 25.6368958036036 0.0160034547686206 -0.0725869831349872 25.495489712547
145 chr20 10000000 11000000 chr20 12000000 13000000 30 20 2 -0.584962500721156 29.4522258163524 20.3719747275219 -0.531790835496949 -0.0531716652242063 24.9121002719372
146 chr20 10000000 11000000 chr20 13000000 14000000 19 19 3 0 18.5279841849353 19.4840408107387 0.0725869831349878 -0.0725869831349872 19.006012497837
147 chr20 11000000 12000000 chr20 13000000 14000000 21 22 2 0.067114195858537 20.6165580714467 22.4091722002741 0.120285861082744 -0.0531716652242063 21.5128651358604
148 chr20 11000000 12000000 chr20 14000000 15000000 19 20 3 0.0740005814437768 18.5279841849353 20.5095166428829 0.146587564578765 -0.0725869831349872 19.5187504139091
149 chr20 12000000 13000000 chr20 14000000 15000000 18 17 2 -0.082462160191973 17.6713354898114 17.3161785183936 -0.0292904949677658 -0.0531716652242063 17.4937570041025
150 chr20 12000000 13000000 chr20 15000000 16000000 28 17 3 -0.719892080807265 27.3043977462204 17.4330891464504 -0.647305097672277 -0.0725869831349872 22.3687434463354
151 chr20 13000000 14000000 chr20 15000000 16000000 19 17 2 -0.160464672193246 18.6530763503565 17.3161785183936 -0.107293006969039 -0.0531716652242063 17.9846274343751
152 chr20 13000000 14000000 chr20 16000000 17000000 24 21 3 -0.192645077942396 23.4037694967603 21.534992475027 -0.120058094807407 -0.0725869831349872 22.4693809858937
153 chr20 14000000 15000000 chr20 16000000 17000000 35 23 2 -0.605721060887954 34.3609301190778 23.4277709366502 -0.552549395663746 -0.0531716652242063 28.894350527864
154 chr20 14000000 15000000 chr20 17000000 18000000 18 18 3 0 17.5528271225702 18.4585649785946 0.0725869831349878 -0.0725869831349872 18.0056960505824
155 chr20 15000000 16000000 chr20 17000000 18000000 18 21 2 0.222392421336448 17.6713354898114 21.390573463898 0.275564086560656 -0.0531716652242063 19.5309544768547
156 chr20 15000000 16000000 chr20 18000000 19000000 19 14 3 -0.440572591385981 18.5279841849353 14.356661650018 -0.367985608250994 -0.0725869831349872 16.4423229174766
157 chr20 16000000 17000000 chr20 18000000 19000000 21 21 2 0 20.6165580714467 21.390573463898 0.0531716652242071 -0.0531716652242063 21.0035657676724
158 chr20 16000000 17000000 chr20 19000000 20000000 16 18 3 0.169925001442312 15.6025129978402 18.4585649785946 0.2425119845773 -0.0725869831349872 17.0305389882174
159 chr20 17000000 18000000 chr20 19000000 20000000 24 19 2 -0.337034987277571 23.5617806530819 19.3533759911458 -0.283863322053364 -0.0531716652242063 21.4575783221139
160 chr20 17000000 18000000 chr20 20000000 21000000 18 18 3 0 17.5528271225702 18.4585649785946 0.0725869831349878 -0.0725869831349872 18.0056960505824
161 chr20 18000000 19000000 chr20 20000000 21000000 30 19 2 -0.658963082164933 29.4522258163524 19.3533759911458 -0.605791416940726 -0.0531716652242063 24.4028009037491
162 chr20 18000000 19000000 chr20 21000000 22000000 22 19 3 -0.211504105193712 21.4534553720303 19.4840408107387 -0.138917122058724 -0.0725869831349872 20.4687480913845
163 chr20 19000000 20000000 chr20 21000000 22000000 18 15 2 -0.263034405833794 17.6713354898114 15.2789810456414 -0.209862740609587 -0.0531716652242063 16.4751582677264
164 chr20 19000000 20000000 chr20 22000000 23000000 18 18 3 0 17.5528271225702 18.4585649785946 0.0725869831349878 -0.0725869831349872 18.0056960505824
165 chr20 20000000 21000000 chr20 22000000 23000000 15 22 2 0.552541023028779 14.7261129081762 22.4091722002741 0.605712688252986 -0.0531716652242063 18.5676425542252
166 chr20 20000000 21000000 chr20 23000000 24000000 16 19 3 0.247927513443585 15.6025129978402 19.4840408107387 0.320514496578573 -0.0725869831349872 17.5432769042895
167 chr20 21000000 22000000 chr20 23000000 24000000 20 19 2 -0.0740005814437769 19.6348172109016 19.3533759911458 -0.0208289162195704 -0.0531716652242063 19.4940966010237
168 chr20 21000000 22000000 chr20 24000000 25000000 17 18 3 0.082462160191973 16.5776700602052 18.4585649785946 0.155049143326961 -0.0725869831349872 17.5181175193999
