chr region1 region2 IF
chr20 10000000 11000000 2
chr20 11000000 12000000 1
chr20 12000000 13000000 1
chr20 13000000 14000000 1
chr20 14000000 15000000 1
chr20 15000000 16000000 2
chr20 16000000 17000000 2
chr20 17000000 18000000 1
chr20 18000000 19000000 1
chr20 19000000 20000000 1
chr20 20000000 21000000 1
chr20 21000000 22000000 1
chr20 22000000 23000000 1
chr20 23000000 24000000 1
chr20 24000000 25000000 1
chr20 25000000 26000000 1
chr20 26000000 27000000 1
chr20 27000000 28000000 3
chr20 28000000 29000000 1
chr20 29000000 30000000 1
chr20 30000000 31000000 1
chr20 31000000 32000000 2
chr20 32000000 33000000 1
chr20 33000000 34000000 2
chr20 34000000 35000000 2
chr20 35000000 36000000 1
chr20 36000000 37000000 1
chr20 37000000 38000000 2
chr20 38000000 39000000 1
chr20 39000000 40000000 2
chr20 40000000 41000000 1
chr20 41000000 42000000 1
chr20 42000000 43000000 1
chr20 43000000 44000000 1
chr20 44000000 45000000 1
chr20 45000000 46000000 1
chr20 46000000 47000000 1
chr20 47000000 48000000 1
chr20 48000000 49000000 1
chr20 49000000 50000000 2
chr20 50000000 51000000 1
chr20 51000000 52000000 1
chr20 52000000 53000000 1
chr20 53000000 54000000 2
chr20 54000000 55000000 1
chr20 55000000 56000000 1
chr20 56000000 57000000 1
chr20 57000000 58000000 1
chr20 58000000 59000000 3
chr20 59000000 60000000 2
chr20 60000000 61000000 1
chr20 61000000 62000000 1
chr20 0 2000000 2
chr20 0 3000000 2
chr20 1000000 3000000 2
chr20 1000000 4000000 1
chr20 2000000 4000000 1
chr20 2000000 5000000 1
chr20 3000000 5000000 2
chr20 3000000 6000000 2
chr20 4000000 6000000 1
chr20 4000000 7000000 2
chr20 5000000 7000000 1
chr20 5000000 8000000 2
chr20 6000000 8000000 1
chr20 6000000 9000000 1
chr20 7000000 9000000 2
chr20 7000000 10000000 1
chr20 8000000 10000000 1
chr20 8000000 11000000 1
chr20 9000000 11000000 1
chr20 9000000 12000000 2
chr20 10000000 12000000 2
chr20 10000000 13000000 1
chr20 11000000 13000000 1
chr20 11000000 14000000 2
chr20 12000000 14000000 2
chr20 12000000 15000000 1
chr20 13000000 15000000 1
chr20 13000000 16000000 2
chr20 14000000 16000000 1
chr20 14000000 17000000 1
chr20 15000000 17000000 1
chr20 15000000 18000000 1
chr20 16000000 18000000 1
chr20 16000000 19000000 1
chr20 17000000 19000000 1
chr20 17000000 20000000 1
chr20 18000000 20000000 1
chr20 18000000 21000000 1
chr20 19000000 21000000 1
chr20 19000000 22000000 1
chr20 20000000 22000000 1
chr20 20000000 23000000 1
chr20 21000000 23000000 1
chr20 21000000 24000000 1
chr20 22000000 24000000 1
chr20 22000000 25000000 1
chr20 23000000 25000000 2
chr20 23000000 26000000 1
chr20 24000000 26000000 1
chr20 24000000 27000000 1
chr20 25000000 27000000 1
chr20 25000000 28000000 1
chr20 26000000 28000000 1
chr20 26000000 29000000 1
chr20 27000000 29000000 1
chr20 27000000 30000000 1
chr20 28000000 30000000 1
chr20 28000000 31000000 1
chr20 29000000 31000000 1
chr20 29000000 32000000 2
chr20 30000000 32000000 1
chr20 30000000 33000000 1
chr20 31000000 33000000 1
chr20 31000000 34000000 1
chr20 32000000 34000000 2
chr20 32000000 35000000 1
chr20 33000000 35000000 1
chr20 33000000 36000000 1
chr20 34000000 36000000 1
chr20 34000000 37000000 1
chr20 35000000 37000000 1
chr20 35000000 38000000 1
chr20 36000000 38000000 1
chr20 36000000 39000000 1
chr20 37000000 39000000 1
chr20 37000000 40000000 1
chr20 38000000 40000000 2
chr20 38000000 41000000 2
chr20 39000000 41000000 1
chr20 39000000 42000000 2
chr20 40000000 42000000 2
chr20 40000000 43000000 1
chr20 41000000 43000000 1
chr20 41000000 44000000 1
chr20 42000000 44000000 1
chr20 42000000 45000000 1
chr20 43000000 45000000 1
chr20 43000000 46000000 1
chr20 44000000 46000000 2
chr20 44000000 47000000 2
chr20 45000000 47000000 1
chr20 45000000 48000000 1
chr20 46000000 48000000 1
chr20 46000000 49000000 1
chr20 47000000 49000000 1
chr20 47000000 50000000 2
chr20 48000000 50000000 2
chr20 48000000 51000000 1
chr20 49000000 51000000 1
chr20 49000000 52000000 1
chr20 50000000 52000000 2
chr20 50000000 53000000 1
chr20 51000000 53000000 2
chr20 51000000 54000000 3
chr20 52000000 54000000 1
chr20 52000000 55000000 2
chr20 53000000 55000000 1
chr20 53000000 56000000 1
chr20 54000000 56000000 1
chr20 54000000 57000000 2
chr20 55000000 57000000 2
chr20 55000000 58000000 1
chr20 56000000 58000000 1
chr20 56000000 59000000 1
chr20 57000000 59000000 1
chr20 57000000 60000000 1
chr20 58000000 60000000 2
chr20 58000000 61000000 2
chr20 59000000 61000000 1
chr20 59000000 62000000 1
chr20 60000000 62000000 1
chr20 0 4000000 1
chr20 0 5000000 1
chr20 0 6000000 1
chr20 1000000 5000000 1
chr20 1000000 6000000 1
chr20 1000000 7000000 1
chr20 2000000 6000000 1
chr20 2000000 7000000 1
chr20 2000000 8000000 1
chr20 3000000 7000000 1
chr20 3000000 8000000 1
chr20 3000000 9000000 1
chr20 4000000 8000000 1
chr20 4000000 9000000 1
chr20 4000000 10000000 1
chr20 5000000 9000000 1
chr20 5000000 10000000 1
chr20 5000000 11000000 1
chr20 6000000 10000000 1
chr20 6000000 11000000 1
chr20 6000000 12000000 1
chr20 7000000 11000000 1
chr20 7000000 12000000 1
chr20 7000000 13000000 1
chr20 8000000 12000000 1
chr20 8000000 13000000 1
chr20 8000000 14000000 1
chr20 9000000 13000000 1
chr20 9000000 14000000 1
chr20 9000000 15000000 1
chr20 10000000 14000000 1
chr20 10000000 15000000 1
chr20 10000000 16000000 1
chr20 11000000 15000000 1
chr20 11000000 16000000 1
chr20 11000000 17000000 1
chr20 12000000 16000000 1
chr20 12000000 17000000 1
chr20 12000000 18000000 1
chr20 13000000 17000000 1
chr20 13000000 18000000 1
chr20 13000000 19000000 1
chr20 14000000 18000000 1
chr20 14000000 19000000 1
chr20 14000000 20000000 1
chr20 15000000 19000000 1
chr20 15000000 20000000 1
chr20 15000000 21000000 1
chr20 16000000 20000000 1
chr20 16000000 21000000 1
chr20 16000000 22000000 1
chr20 17000000 21000000 1
chr20 17000000 22000000 1
chr20 17000000 23000000 1
chr20 18000000 22000000 1
chr20 18000000 23000000 1
chr20 18000000 24000000 1
chr20 19000000 23000000 1
chr20 19000000 24000000 1
chr20 19000000 25000000 1
chr20 20000000 24000000 1
chr20 20000000 25000000 1
chr20 20000000 26000000 1
chr20 21000000 25000000 1
chr20 21000000 26000000 1
chr20 21000000 27000000 1
chr20 22000000 26000000 1
chr20 22000000 27000000 1
chr20 22000000 28000000 1
chr20 23000000 27000000 1
chr20 23000000 28000000 1
chr20 23000000 29000000 1
chr20 24000000 28000000 1
chr20 24000000 29000000 1
chr20 24000000 30000000 1
chr20 25000000 29000000 1
chr20 25000000 30000000 1
chr20 25000000 31000000 1
chr20 26000000 30000000 1
chr20 26000000 31000000 1
chr20 26000000 32000000 1
chr20 27000000 31000000 1
chr20 27000000 32000000 1
chr20 27000000 33000000 1
chr20 28000000 32000000 1
chr20 28000000 33000000 1
chr20 28000000 34000000 1
chr20 29000000 33000000 1
chr20 29000000 34000000 1
chr20 29000000 35000000 1
chr20 30000000 34000000 1
chr20 30000000 35000000 1
chr20 30000000 36000000 1
chr20 31000000 35000000 1
chr20 31000000 36000000 1
chr20 31000000 37000000 1
chr20 32000000 36000000 1
chr20 32000000 37000000 1
chr20 32000000 38000000 1
chr20 33000000 37000000 1
chr20 33000000 38000000 1
chr20 33000000 39000000 1
chr20 34000000 38000000 1
chr20 34000000 39000000 1
chr20 34000000 40000000 1
chr20 35000000 39000000 1
chr20 35000000 40000000 1
chr20 35000000 41000000 1
chr20 36000000 40000000 1
chr20 36000000 41000000 1
chr20 36000000 42000000 1
chr20 37000000 41000000 1
chr20 37000000 42000000 1
chr20 37000000 43000000 1
chr20 38000000 42000000 1
chr20 38000000 43000000 1
chr20 38000000 44000000 1
chr20 39000000 43000000 1
chr20 39000000 44000000 1
chr20 39000000 45000000 1
chr20 40000000 44000000 1
chr20 40000000 45000000 1
chr20 40000000 46000000 1
chr20 41000000 45000000 1
chr20 41000000 46000000 1
chr20 41000000 47000000 1
chr20 42000000 46000000 1
chr20 42000000 47000000 1
chr20 42000000 48000000 1
chr20 43000000 47000000 1
chr20 43000000 48000000 1
chr20 43000000 49000000 1
chr20 44000000 48000000 1
chr20 44000000 49000000 1
chr20 44000000 50000000 1
chr20 45000000 49000000 1
chr20 45000000 50000000 1
chr20 45000000 51000000 1
chr20 46000000 50000000 1
chr20 46000000 51000000 1
chr20 46000000 52000000 1
chr20 47000000 51000000 1
chr20 47000000 52000000 1
chr20 47000000 53000000 1
chr20 48000000 52000000 1
chr20 48000000 53000000 1
chr20 48000000 54000000 1
chr20 49000000 53000000 1
chr20 49000000 54000000 1
chr20 49000000 55000000 1
chr20 50000000 54000000 1
chr20 50000000 55000000 1
chr20 50000000 56000000 1
chr20 51000000 55000000 1
chr20 51000000 56000000 1
chr20 51000000 57000000 1
chr20 52000000 56000000 1
chr20 52000000 57000000 1
chr20 52000000 58000000 1
chr20 53000000 57000000 1
chr20 53000000 58000000 1
chr20 53000000 59000000 1
chr20 54000000 58000000 1
chr20 54000000 59000000 1
chr20 54000000 60000000 1
chr20 55000000 59000000 1
chr20 55000000 60000000 1
chr20 55000000 61000000 1
chr20 56000000 60000000 1
chr20 56000000 61000000 1
chr20 56000000 62000000 1
chr20 57000000 61000000 1
chr20 57000000 62000000 1
chr20 58000000 62000000 1
chr20 0 8000000 1
chr20 0 9000000 1
chr20 0 10000000 1
chr20 1000000 8000000 1
chr20 1000000 9000000 1
chr20 1000000 10000000 1
chr20 1000000 11000000 2
chr20 2000000 9000000 1
chr20 2000000 10000000 1
chr20 2000000 11000000 1
chr20 2000000 12000000 1
chr20 3000000 10000000 1
chr20 3000000 11000000 1
chr20 3000000 12000000 1
chr20 3000000 13000000 1
chr20 4000000 11000000 1
chr20 4000000 12000000 1
chr20 4000000 13000000 1
chr20 4000000 14000000 1
chr20 5000000 12000000 1
chr20 5000000 13000000 2
chr20 5000000 14000000 1
chr20 5000000 15000000 1
chr20 6000000 13000000 1
chr20 6000000 14000000 1
chr20 6000000 15000000 1
chr20 6000000 16000000 1
chr20 7000000 14000000 1
chr20 7000000 15000000 1
chr20 7000000 16000000 1
chr20 7000000 17000000 1
chr20 8000000 15000000 1
chr20 8000000 16000000 1
chr20 8000000 17000000 1
chr20 8000000 18000000 1
chr20 9000000 16000000 1
chr20 9000000 17000000 1
chr20 9000000 18000000 1
chr20 9000000 19000000 1
chr20 10000000 17000000 1
chr20 10000000 18000000 1
chr20 10000000 19000000 1
chr20 10000000 20000000 1
chr20 11000000 18000000 1
chr20 11000000 19000000 1
chr20 11000000 20000000 1
chr20 11000000 21000000 1
chr20 12000000 19000000 1
chr20 12000000 20000000 1
chr20 12000000 21000000 1
chr20 12000000 22000000 1
chr20 13000000 20000000 1
chr20 13000000 21000000 1
chr20 13000000 22000000 1
chr20 13000000 23000000 1
chr20 14000000 21000000 1
chr20 14000000 22000000 1
chr20 14000000 23000000 1
chr20 14000000 24000000 1
chr20 15000000 22000000 1
chr20 15000000 23000000 1
chr20 15000000 24000000 1
chr20 15000000 25000000 1
chr20 16000000 23000000 1
chr20 16000000 24000000 1
chr20 16000000 25000000 1
chr20 16000000 26000000 1
chr20 17000000 24000000 1
chr20 17000000 25000000 1
chr20 17000000 26000000 1
chr20 17000000 27000000 1
chr20 18000000 25000000 1
chr20 18000000 26000000 1
chr20 18000000 27000000 1
chr20 18000000 28000000 1
chr20 19000000 26000000 1
chr20 19000000 27000000 2
chr20 19000000 28000000 1
chr20 19000000 29000000 1
chr20 20000000 27000000 1
chr20 20000000 28000000 1
chr20 20000000 29000000 1
chr20 20000000 30000000 2
chr20 21000000 28000000 1
chr20 21000000 29000000 1
chr20 21000000 30000000 1
chr20 21000000 31000000 1
chr20 22000000 29000000 1
chr20 22000000 30000000 1
chr20 22000000 31000000 1
chr20 22000000 32000000 1
chr20 23000000 30000000 1
chr20 23000000 31000000 2
chr20 23000000 32000000 1
chr20 23000000 33000000 1
chr20 24000000 31000000 1
chr20 24000000 32000000 1
chr20 24000000 33000000 1
chr20 24000000 34000000 2
chr20 25000000 32000000 1
chr20 25000000 33000000 1
chr20 25000000 34000000 1
chr20 25000000 35000000 1
chr20 26000000 33000000 1
chr20 26000000 34000000 1
chr20 26000000 35000000 1
chr20 26000000 36000000 1
chr20 27000000 34000000 1
chr20 27000000 35000000 1
chr20 27000000 36000000 1
chr20 27000000 37000000 1
chr20 28000000 35000000 1
chr20 28000000 36000000 1
chr20 28000000 37000000 1
chr20 28000000 38000000 1
chr20 29000000 36000000 1
chr20 29000000 37000000 1
chr20 29000000 38000000 1
chr20 29000000 39000000 1
chr20 30000000 37000000 1
chr20 30000000 38000000 2
chr20 30000000 39000000 1
chr20 30000000 40000000 1
chr20 31000000 38000000 1
chr20 31000000 39000000 1
chr20 31000000 40000000 1
chr20 31000000 41000000 1
chr20 32000000 39000000 1
chr20 32000000 40000000 1
chr20 32000000 41000000 1
chr20 32000000 42000000 1
chr20 33000000 40000000 1
chr20 33000000 41000000 1
chr20 33000000 42000000 1
chr20 33000000 43000000 1
chr20 34000000 41000000 1
chr20 34000000 42000000 1
chr20 34000000 43000000 1
chr20 34000000 44000000 1
chr20 35000000 42000000 1
chr20 35000000 43000000 1
chr20 35000000 44000000 1
chr20 35000000 45000000 1
chr20 36000000 43000000 1
chr20 36000000 44000000 1
chr20 36000000 45000000 1
chr20 36000000 46000000 1
chr20 37000000 44000000 1
chr20 37000000 45000000 1
chr20 37000000 46000000 1
chr20 37000000 47000000 1
chr20 38000000 45000000 1
chr20 38000000 46000000 1
chr20 38000000 47000000 1
chr20 38000000 48000000 1
chr20 39000000 46000000 1
chr20 39000000 47000000 1
chr20 39000000 48000000 1
chr20 39000000 49000000 1
chr20 40000000 47000000 1
chr20 40000000 48000000 1
chr20 40000000 49000000 1
chr20 40000000 50000000 1
chr20 41000000 48000000 1
chr20 41000000 49000000 1
chr20 41000000 50000000 1
chr20 41000000 51000000 1
chr20 42000000 49000000 1
chr20 42000000 50000000 1
chr20 42000000 51000000 1
chr20 42000000 52000000 1
chr20 43000000 50000000 1
chr20 43000000 51000000 1
chr20 43000000 52000000 1
chr20 43000000 53000000 1
chr20 44000000 51000000 1
chr20 44000000 52000000 1
chr20 44000000 53000000 1
chr20 44000000 54000000 1
chr20 45000000 52000000 1
chr20 45000000 53000000 1
chr20 45000000 54000000 1
chr20 45000000 55000000 1
chr20 46000000 53000000 1
chr20 46000000 54000000 1
chr20 46000000 55000000 1
chr20 46000000 56000000 1
chr20 47000000 54000000 1
chr20 47000000 55000000 1
chr20 47000000 56000000 1
chr20 47000000 57000000 1
chr20 48000000 55000000 1
chr20 48000000 56000000 1
chr20 48000000 57000000 1
chr20 48000000 58000000 1
chr20 49000000 56000000 1
chr20 49000000 57000000 1
chr20 49000000 58000000 1
chr20 49000000 59000000 1
chr20 50000000 57000000 1
chr20 50000000 58000000 1
chr20 50000000 59000000 1
chr20 50000000 60000000 1
chr20 51000000 58000000 1
chr20 51000000 59000000 2
chr20 51000000 60000000 1
chr20 51000000 61000000 1
chr20 52000000 59000000 1
chr20 52000000 60000000 1
chr20 52000000 61000000 1
chr20 52000000 62000000 1
chr20 53000000 60000000 1
chr20 53000000 61000000 1
chr20 53000000 62000000 1
chr20 54000000 61000000 1
chr20 54000000 62000000 2
chr20 55000000 62000000 1
chr20 0 13000000 1
chr20 0 14000000 1
chr20 0 15000000 1
chr20 1000000 12000000 1
chr20 1000000 13000000 1
chr20 1000000 14000000 1
chr20 1000000 15000000 1
chr20 1000000 16000000 1
chr20 2000000 13000000 1
chr20 2000000 14000000 1
chr20 2000000 15000000 1
chr20 2000000 16000000 1
chr20 2000000 17000000 1
chr20 3000000 14000000 1
chr20 3000000 15000000 1
chr20 3000000 16000000 1
chr20 3000000 17000000 1
chr20 3000000 18000000 1
chr20 4000000 15000000 1
chr20 4000000 16000000 1
chr20 4000000 17000000 1
chr20 4000000 18000000 1
chr20 4000000 19000000 1
chr20 5000000 16000000 1
chr20 5000000 17000000 1
chr20 5000000 18000000 1
chr20 5000000 19000000 1
chr20 5000000 20000000 1
chr20 6000000 17000000 1
chr20 6000000 18000000 1
chr20 6000000 19000000 1
chr20 6000000 20000000 1
chr20 6000000 21000000 1
chr20 7000000 18000000 1
chr20 7000000 19000000 1
chr20 7000000 20000000 1
chr20 7000000 21000000 1
chr20 7000000 22000000 1
chr20 8000000 19000000 1
chr20 8000000 20000000 1
chr20 8000000 21000000 1
chr20 8000000 22000000 1
chr20 8000000 23000000 1
chr20 9000000 20000000 1
chr20 9000000 21000000 1
chr20 9000000 22000000 1
chr20 9000000 23000000 1
chr20 9000000 24000000 1
chr20 10000000 21000000 1
chr20 10000000 22000000 1
chr20 10000000 23000000 1
chr20 10000000 24000000 1
chr20 10000000 25000000 1
chr20 11000000 22000000 1
chr20 11000000 23000000 1
chr20 11000000 24000000 1
chr20 11000000 25000000 1
chr20 11000000 26000000 1
chr20 12000000 23000000 1
chr20 12000000 24000000 1
chr20 12000000 25000000 1
chr20 12000000 26000000 1
chr20 12000000 27000000 1
chr20 13000000 24000000 1
chr20 13000000 25000000 1
chr20 13000000 26000000 1
chr20 13000000 27000000 1
chr20 13000000 28000000 1
chr20 14000000 25000000 1
chr20 14000000 26000000 1
chr20 14000000 27000000 1
chr20 14000000 28000000 1
chr20 14000000 29000000 1
chr20 15000000 26000000 1
chr20 15000000 27000000 1
chr20 15000000 28000000 1
chr20 15000000 29000000 1
chr20 15000000 30000000 1
chr20 16000000 27000000 1
chr20 16000000 28000000 1
chr20 16000000 29000000 1
chr20 16000000 30000000 1
chr20 16000000 31000000 1
chr20 17000000 28000000 1
chr20 17000000 29000000 1
chr20 17000000 30000000 1
chr20 17000000 31000000 1
chr20 17000000 32000000 1
chr20 18000000 29000000 1
chr20 18000000 30000000 1
chr20 18000000 31000000 1
chr20 18000000 32000000 1
chr20 18000000 33000000 1
chr20 19000000 30000000 1
chr20 19000000 31000000 1
chr20 19000000 32000000 1
chr20 19000000 33000000 1
chr20 19000000 34000000 1
chr20 20000000 31000000 1
chr20 20000000 32000000 1
chr20 20000000 33000000 1
chr20 20000000 34000000 1
chr20 20000000 35000000 1
chr20 21000000 32000000 1
chr20 21000000 33000000 1
chr20 21000000 34000000 1
chr20 21000000 35000000 1
chr20 21000000 36000000 1
chr20 22000000 33000000 1
chr20 22000000 34000000 1
chr20 22000000 35000000 1
chr20 22000000 36000000 1
chr20 22000000 37000000 1
chr20 23000000 34000000 1
chr20 23000000 35000000 1
chr20 23000000 36000000 1
chr20 23000000 37000000 1
chr20 23000000 38000000 1
chr20 24000000 35000000 1
chr20 24000000 36000000 1
chr20 24000000 37000000 1
chr20 24000000 38000000 1
chr20 24000000 39000000 1
chr20 25000000 36000000 1
chr20 25000000 37000000 1
chr20 25000000 38000000 1
chr20 25000000 39000000 1
chr20 25000000 40000000 1
chr20 26000000 37000000 1
chr20 26000000 38000000 1
chr20 26000000 39000000 1
chr20 26000000 40000000 1
chr20 26000000 41000000 1
chr20 27000000 38000000 1
chr20 27000000 39000000 1
chr20 27000000 40000000 1
chr20 27000000 41000000 1
chr20 27000000 42000000 1
chr20 28000000 39000000 1
chr20 28000000 40000000 1
chr20 28000000 41000000 1
chr20 28000000 42000000 1
chr20 28000000 43000000 1
chr20 29000000 40000000 1
chr20 29000000 41000000 1
chr20 29000000 42000000 1
chr20 29000000 43000000 1
chr20 29000000 44000000 1
chr20 30000000 41000000 1
chr20 30000000 42000000 1
chr20 30000000 43000000 1
chr20 30000000 44000000 1
chr20 30000000 45000000 1
chr20 31000000 42000000 1
chr20 31000000 43000000 1
chr20 31000000 44000000 1
chr20 31000000 45000000 1
chr20 31000000 46000000 1
chr20 32000000 43000000 1
chr20 32000000 44000000 1
chr20 32000000 45000000 1
chr20 32000000 46000000 1
chr20 32000000 47000000 1
chr20 33000000 44000000 1
chr20 33000000 45000000 1
chr20 33000000 46000000 1
chr20 33000000 47000000 1
chr20 33000000 48000000 1
chr20 34000000 45000000 1
chr20 34000000 46000000 1
chr20 34000000 47000000 1
chr20 34000000 48000000 1
chr20 34000000 49000000 1
chr20 35000000 46000000 1
chr20 35000000 47000000 1
chr20 35000000 48000000 1
chr20 35000000 49000000 1
chr20 35000000 50000000 1
chr20 36000000 47000000 1
chr20 36000000 48000000 1
chr20 36000000 49000000 1
chr20 36000000 50000000 1
chr20 36000000 51000000 1
chr20 37000000 48000000 1
chr20 37000000 49000000 1
chr20 37000000 50000000 1
chr20 37000000 51000000 1
chr20 37000000 52000000 1
chr20 38000000 49000000 1
chr20 38000000 50000000 1
chr20 38000000 51000000 1
chr20 38000000 52000000 1
chr20 38000000 53000000 1
chr20 39000000 50000000 1
chr20 39000000 51000000 1
chr20 39000000 52000000 1
chr20 39000000 53000000 1
chr20 39000000 54000000 1
chr20 40000000 51000000 1
chr20 40000000 52000000 1
chr20 40000000 53000000 1
chr20 40000000 54000000 1
chr20 40000000 55000000 1
chr20 41000000 52000000 1
chr20 41000000 53000000 1
chr20 41000000 54000000 1
chr20 41000000 55000000 1
chr20 41000000 56000000 1
chr20 42000000 53000000 1
chr20 42000000 54000000 1
chr20 42000000 55000000 1
chr20 42000000 56000000 1
chr20 42000000 57000000 1
chr20 43000000 54000000 1
chr20 43000000 55000000 1
chr20 43000000 56000000 1
chr20 43000000 57000000 1
chr20 43000000 58000000 1
chr20 44000000 55000000 1
chr20 44000000 56000000 1
chr20 44000000 57000000 1
chr20 44000000 58000000 1
chr20 44000000 59000000 1
chr20 45000000 56000000 1
chr20 45000000 57000000 1
chr20 45000000 58000000 1
chr20 45000000 59000000 1
chr20 45000000 60000000 1
chr20 46000000 57000000 1
chr20 46000000 58000000 1
chr20 46000000 59000000 1
chr20 46000000 60000000 1
chr20 46000000 61000000 1
chr20 47000000 58000000 1
chr20 47000000 59000000 1
chr20 47000000 60000000 1
chr20 47000000 61000000 1
chr20 47000000 62000000 1
chr20 48000000 59000000 1
chr20 48000000 60000000 1
chr20 48000000 61000000 1
chr20 48000000 62000000 1
chr20 49000000 60000000 1
chr20 49000000 61000000 1
chr20 49000000 62000000 1
chr20 50000000 61000000 1
chr20 50000000 62000000 1
chr20 51000000 62000000 1
chr20 0 16000000 2
chr20 0 17000000 2
chr20 0 18000000 2
chr20 0 21000000 1
chr20 1000000 17000000 1
chr20 1000000 18000000 2
chr20 1000000 19000000 1
chr20 1000000 20000000 3
chr20 1000000 21000000 1
chr20 1000000 22000000 1
chr20 2000000 18000000 2
chr20 2000000 19000000 1
chr20 2000000 20000000 1
chr20 2000000 21000000 2
chr20 2000000 22000000 1
chr20 2000000 23000000 1
chr20 3000000 19000000 1
chr20 3000000 20000000 1
chr20 3000000 21000000 2
chr20 3000000 22000000 2
chr20 3000000 23000000 1
chr20 3000000 24000000 1
chr20 4000000 20000000 2
chr20 4000000 21000000 2
chr20 4000000 22000000 1
chr20 4000000 23000000 1
chr20 4000000 24000000 1
chr20 4000000 25000000 1
chr20 5000000 21000000 1
chr20 5000000 22000000 1
chr20 5000000 23000000 1
chr20 5000000 24000000 1
chr20 5000000 25000000 1
chr20 5000000 26000000 2
chr20 6000000 22000000 1
chr20 6000000 23000000 1
chr20 6000000 24000000 2
chr20 6000000 25000000 1
chr20 6000000 26000000 1
chr20 6000000 27000000 1
chr20 7000000 23000000 1
chr20 7000000 24000000 1
chr20 7000000 25000000 1
chr20 7000000 26000000 1
chr20 7000000 27000000 1
chr20 7000000 28000000 2
chr20 8000000 24000000 1
chr20 8000000 25000000 2
chr20 8000000 26000000 1
chr20 8000000 27000000 1
chr20 8000000 28000000 2
chr20 8000000 29000000 1
chr20 9000000 25000000 2
chr20 9000000 26000000 1
chr20 9000000 27000000 1
chr20 9000000 28000000 1
chr20 9000000 29000000 1
chr20 9000000 30000000 1
chr20 10000000 26000000 2
chr20 10000000 27000000 1
chr20 10000000 28000000 1
chr20 10000000 29000000 1
chr20 10000000 30000000 2
chr20 10000000 31000000 1
chr20 11000000 27000000 1
chr20 11000000 28000000 1
chr20 11000000 29000000 1
chr20 11000000 30000000 1
chr20 11000000 31000000 1
chr20 11000000 32000000 1
chr20 12000000 28000000 1
chr20 12000000 29000000 1
chr20 12000000 30000000 1
chr20 12000000 31000000 1
chr20 12000000 32000000 1
chr20 12000000 33000000 1
chr20 13000000 29000000 1
chr20 13000000 30000000 1
chr20 13000000 31000000 1
chr20 13000000 32000000 2
chr20 13000000 33000000 1
chr20 13000000 34000000 1
chr20 14000000 30000000 1
chr20 14000000 31000000 2
chr20 14000000 32000000 1
chr20 14000000 33000000 1
chr20 14000000 34000000 2
chr20 14000000 35000000 1
chr20 15000000 31000000 1
chr20 15000000 32000000 1
chr20 15000000 33000000 1
chr20 15000000 34000000 2
chr20 15000000 35000000 2
chr20 15000000 36000000 2
chr20 16000000 32000000 1
chr20 16000000 33000000 1
chr20 16000000 34000000 1
chr20 16000000 35000000 1
chr20 16000000 36000000 1
chr20 16000000 37000000 2
chr20 17000000 33000000 1
chr20 17000000 34000000 1
chr20 17000000 35000000 1
chr20 17000000 36000000 2
chr20 17000000 37000000 1
chr20 17000000 38000000 1
chr20 18000000 34000000 1
chr20 18000000 35000000 2
chr20 18000000 36000000 2
chr20 18000000 37000000 2
chr20 18000000 38000000 2
chr20 18000000 39000000 1
chr20 19000000 35000000 1
chr20 19000000 36000000 1
chr20 19000000 37000000 2
chr20 19000000 38000000 1
chr20 19000000 39000000 1
